close, Volume,open,high,low
36.8728,160834008,37.2443,37.5214,36.5857
36.75,112029784,36.5561,37.1,36.4143
37.4071,106583082,37.2057,37.5128,37.0886
37.4186,104082541,37.2871,37.6086,37.06
37.5686,105052042,37.5486,37.7543,37.1873
37.3857,72257102,37.39,37.5971,37.2214
37.1558,111151143,37.1114,37.3557,36.8043
37.3928,75552633,37.3543,37.45,37.0814
37.0586,112874754,37.1214,37.2071,36.7928
35.7414,154454626,36.4857,36.5271,35.6871
35.97,133552620,35.2414,36.1571,35.16
35.5857,88560037,35.95,35.9828,35.5843
35.3771,79420764,35.3686,35.7157,35.2314
35.9957,105546662,35.7257,36.3757,35.6
36.1528,84548265,36.0514,36.3814,35.94
35.6971,106533662,36.12,36.2114,35.5257
35.6628,95681559,35.6271,36.2743,35.5714
35.1143,103289091,35.97,36.0,35.0357
34.2757,150183995,34.6671,34.7143,34.0928
34.6986,148938905,34.0057,34.8557,33.8857
34.3257,116284385,35.0643,35.1071,34.3254
34.5171,136758551,34.5357,34.6586,33.6514
34.6428,95553599,34.3943,35.1071,34.3829
34.7286,104966361,34.55,34.9371,34.3357
35.7614,173960762,35.3528,35.9228,35.1828
36.0243,103632581,35.8946,36.0243,35.51
36.9671,130035609,36.4414,36.9686,36.3571
36.83,85565506,36.6628,37.0757,36.6071
37.56,131395709,37.1114,37.77,37.0143
37.5814,109347103,37.8628,38.0743,37.56
37.63,96849369,37.5986,37.7857,37.3428
38.1486,96883319,37.9743,38.3257,37.9657
38.2943,101293530,38.03,38.4528,37.9314
38.6028,106805122,38.31,38.6257,38.2628
39.51,162463819,38.6057,39.5243,38.5
39.3386,157292917,39.67,39.7086,39.0971
40.4614,164490809,39.44,40.54,39.4071
40.5386,166544330,40.5514,41.05,40.3986
41.1071,146168794,40.3871,41.14,40.3443
41.2743,196189899,40.9043,41.8228,40.8571
41.76,161761929,41.7286,41.9328,41.5071
41.5948,120369236,41.9964,42.1043,41.5728
40.98,258538988,41.6814,41.6814,39.2857
41.0528,117244505,41.0328,41.4014,40.8571
40.5357,167988710,41.2857,41.4286,40.1786
40.36,112000034,40.878,40.94,40.1928
39.8057,108637023,40.2286,40.4143,39.6814
41.2771,124901667,40.2857,41.35,40.2601
41.3128,167206320,41.37,41.7128,40.7514
41.3171,101859481,41.4766,41.4971,40.9871
42.01,164183439,41.6733,42.0714,41.4286
42.1943,106676392,42.1057,42.4628,42.0857
42.6486,139112862,42.2014,42.7857,41.7843
42.8771,155265647,42.8857,43.1371,42.8286
43.1871,108314742,43.0986,43.21,42.9143
44.9628,229189449,43.92,45.0,43.5586
45.4286,267603430,45.4957,45.5714,44.8986
44.2128,307005952,43.3428,44.8243,42.86
